,20,9,22,32,23,25,24,7
1919-01-01,-177.14659311919561,-56.377175315708975,-148.02774332994326,-156.0041363401351,-60.491909024046,-51.18513111666983,-104.61986463558456,-92.2340074500092
1919-02-01,-173.59337646781483,-55.74382258713025,-146.46173165614817,-154.96025515624507,-59.82817214323497,-50.700489935062855,-104.09479362388964,-92.04016117189568
1919-03-01,-171.35356875632712,-51.503508150126024,-143.74300411828364,-153.9403405594858,-59.4201741441748,-49.97383893254893,-103.36585850973418,-91.9327968805676
1919-04-01,-170.50498057342216,-49.347931291542025,-142.1122509572814,-154.09157795056774,-59.907190551875665,-49.32446315034289,-103.04541487697387,-92.10112425538061
1919-05-01,-169.63429796339602,-50.27117703740803,-140.82194302651237,-154.060329293183,-60.368625807209696,-48.38898169374302,-101.58197032497785,-91.98296529209514
1919-06-01,-168.00519143642177,-49.42887452771241,-138.6151325593198,-153.0699670160409,-60.56283810307363,-47.29338470438367,-99.58006903485273,-91.7202061388597
1919-07-01,-168.81669482954865,-51.457033653445265,-138.89902653644148,-153.31615559157908,-61.95818141813925,-46.65088302796788,-98.72514699619096,-91.55766607164496
1919-08-01,-168.65509508775722,-50.686956597440656,-135.4074031737125,-152.03844203472602,-62.836448039143306,-45.931814121041725,-97.74770319880008,-91.52823744740729
1919-09-01,-168.82542284012334,-49.12862087598228,-131.56219993847208,-150.5288912905803,-62.990696207671704,-44.886829172738544,-95.36702546976471,-89.77110209761858
1919-10-01,-169.491044159618,-48.0266401327965,-129.57197451329358,-150.91567478124298,-64.7520309530932,-44.348129871634,-93.69314579790205,-88.47777613453047
1919-11-01,-170.61605864509775,-46.261044129728134,-127.29952596155474,-151.0454626949355,-65.93399692583279,-43.715906730701704,-91.30487573606888,-87.13676780369124
1919-12-01,-168.71487864451956,-36.64527789529866,-118.19674779249283,-147.32774503335463,-63.46899192356659,-41.73744367819586,-85.4810322410062,-84.3241307498431
1920-01-01,-164.64495470327896,-27.691302945661512,-106.55976880786018,-142.43982903044468,-59.982625840184056,-39.82409174593293,-79.60272137426068,-81.38740154448898
1920-02-01,-161.62606122839924,-31.320524402364413,-99.38256831523991,-137.89317488037057,-57.21961755835251,-38.48140931191704,-75.15136714544693,-79.29747868337166
1920-03-01,-162.2168344466447,-42.72301863420879,-98.07077105596294,-136.54409974703438,-56.65030033341156,-38.284656670742145,-73.75949706974528,-78.91047986611288
1920-04-01,-162.95630306665376,-53.05847511467417,-97.84235719944282,-136.55160533188607,-57.24631239302668,-38.518687207746574,-73.07435634341005,-79.64450297159313
1920-05-01,-164.183886502839,-62.160502427498365,-97.47773098615434,-137.38505698649143,-58.438823160813705,-38.96218897555273,-72.30385104097063,-80.61117680882113
1920-06-01,-164.14856112740227,-70.04293748528717,-95.98353654627347,-139.28035103786425,-60.023516361273266,-39.626931006042405,-71.4278336109086,-81.7591272847395
1920-07-01,-164.40755582437976,-79.4360099935334,-96.14954928044241,-141.83623909459357,-62.3033376777646,-40.6124862484164,-70.91100659760404,-83.41139443817065
1920-08-01,-163.2205191578101,-87.29343650332055,-98.31248810106966,-143.55612429276493,-64.1397118845776,-41.46059449292107,-70.32933602115531,-84.46295423233465
1920-09-01,-162.09608359500365,-95.3446432066034,-100.77747842855544,-144.7997958797511,-65.33449018764297,-42.43227150004009,-70.1911299807964,-85.37497628498343
1920-10-01,-159.4490578957339,-102.76275873770713,-101.21646310675717,-144.4485145986311,-65.6837427519798,-43.196655296458495,-69.84200678953111,-86.3663397254917
1920-11-01,-157.21190740345762,-112.60264589795138,-104.35014763348892,-144.78768123856952,-67.54247886840578,-44.41162463416964,-69.40846353476007,-87.7823692796831
1920-12-01,-151.8976373417592,-115.73875673091493,-105.2747247222472,-143.4312534736903,-68.0083073543179,-45.005987102394926,-67.77978626087999,-88.42395080392673
1921-01-01,-145.04896900561275,-115.68352163441953,-106.85222751908105,-141.84026401510835,-68.08227815659858,-45.26189385084932,-65.36319025742063,-88.53148089369287
1921-02-01,-140.64753875128403,-119.14435070138545,-109.48733740150647,-141.37686079713214,-68.36567290651335,-45.75617073317055,-64.78718361108703,-88.27785154350084
1921-03-01,-136.67513423347702,-124.73761091913521,-112.45476691564893,-142.1618758626487,-69.48601448555432,-46.54650810493559,-63.9767383676262,-89.11385252671377
1921-04-01,-132.60582771349164,-127.36770076138019,-113.25252572172485,-142.71795773558625,-69.87781474281786,-47.11847537649441,-62.91791658983467,-89.95241999564035
1921-05-01,-129.02060033581952,-129.78565823294176,-113.42647217388082,-143.8812228642589,-70.90038270739075,-47.851383518261294,-62.6026742636368,-91.26118352428277
1921-06-01,-124.69927308980068,-127.55207555714279,-110.60047046283816,-144.04593882066894,-70.95572808795242,-48.04269960726541,-61.85885731253925,-92.56205533180335
1921-07-01,-121.89015712397529,-127.49689565672419,-108.81626610570578,-144.20707547037063,-71.14936334212247,-47.97497700560697,-61.91061643255465,-93.54024056624985
1921-08-01,-119.84335524130199,-127.68868139515243,-107.68038369933659,-144.5737757623734,-71.65180988323083,-47.96452226083354,-62.17689449884145,-94.60040454068914
1921-09-01,-116.44071418568944,-124.67800850235821,-104.79589673223055,-143.8452251349706,-71.59680940505027,-47.835341046388045,-62.485807675148905,-95.9354847179717
1921-10-01,-111.49623798977504,-119.52853299439128,-99.78058079695239,-142.15584240010602,-70.65276389255067,-47.47078363924604,-62.48792500280895,-97.25189368276459
1921-11-01,-109.63718038757173,-117.73898659597242,-97.37712676491216,-141.71938300178846,-70.26531392164752,-47.600981936744866,-64.19082086328069,-99.04813721557741
