,height,pres,u2,v2,u_s,v_s
1836-01-01,,101699.62389218749,14.915921774523396,5.51793484613614,17.4582303486231,10.618506933090307
1836-02-01,,101075.86778515624,2.031134380569532,0.5949157790092096,2.3095152660721876,1.249911467426012
1836-03-01,,100387.09574921874,22.715985613696358,11.007460174671525,27.67781258287645,19.266797514588504
1836-04-01,,101201.297884375,0.6064196478284061,-0.743001170024065,0.9046078139914641,-1.001309765516754
1836-05-01,,102034.19249140624,-4.0881451284756505,-11.948812578927171,-8.09700009429967,-13.842781583985852
1836-06-01,,101383.9058140625,16.03505630053896,1.9905207656880277,17.001210048306966,5.990015481101422
1836-07-01,,101514.3884421875,13.992962183318902,-0.6749634392946136,14.326469507347763,-3.1464763665975317
1836-08-01,,101707.0509953125,0.7672724436863912,-4.022943586395057,1.9171334745359585,-4.389848386409598
1836-09-01,,101307.1643265625,1.6535805288073804,0.06798999017965261,1.6872330867920335,0.34212506876799864
1836-10-01,,101353.64488593751,4.567373328145049,6.496736752939442,7.108721494333989,8.47824336772361
1836-11-01,,100889.92228828125,0.3467629994347078,4.819874355230331,1.3385061322590395,4.990244772405969
1836-12-01,,101299.94926171875,1.586590980314455,0.22409125521318027,1.6949371973922098,0.6369914088522662
1837-01-01,,101810.27302109374,2.8598694780529175,2.243154466973423,3.820207118227233,3.383322473155371
1837-02-01,,101734.1208515625,5.831556691291425,10.078215573134969,9.632172076200595,12.6626266864491
1837-03-01,,101640.17238125,0.0702772133591247,-0.10753452288635738,0.11178601578855983,-0.13827834328177618
1837-04-01,,101056.4228203125,-1.717855732807553,0.039770758630173146,-1.7376273318668545,0.2643901264286696
1837-05-01,,101402.0979484375,2.6212740282936315,-0.23519712012306745,2.7363467678484716,-0.8196546759594792
1837-06-01,,101597.80446015626,3.684343882181795,0.00138244205123639,3.6850350383794677,0.07138139155248145
1837-07-01,,101509.8836359375,3.688467053611798,-0.06512416392812295,3.720886660276364,-0.49441833478364494
1837-08-01,,101589.17995078125,2.805648355659572,0.2453917739481583,2.9257726710538012,0.8652746094688435
1837-09-01,,101415.23643828125,0.0022843747032209594,1.0916870367181064,0.049990405262388196,1.0928286271821734
1837-10-01,,101934.50589062499,2.621207459339598,0.1018724469875524,2.67165816728909,0.5266942314096309
1837-11-01,,101312.8893765625,2.0605018038822807,0.03661982088219023,2.078731077072677,0.27712130605033364
1837-12-01,,101817.30139921875,-1.0995517532400763,3.125422909847009,-2.155360363881712,3.633845429505158
1838-01-01,,101918.913846875,-23.863824859255104,0.041283591150765984,-23.884457735146192,0.9934227316109073
1838-02-01,,101007.80142031249,-3.5103372247139593,0.42779623435951086,-3.7180877446984963,1.2979671275486238
1838-03-01,,101188.51924921875,3.0754155647307275,-0.04705915746174353,3.0988558148305287,-0.3833288791911841
1838-04-01,,101069.81619843749,6.084908491328192,-3.3382510907529666,7.572256186642543,-5.608642683682184
1838-05-01,,101461.5617859375,-1.4719310567393609,-0.8801981072160422,-1.8606912602278611,-1.438867484531219
1838-06-01,,101444.0708890625,5.599840302676303,0.5668274937217918,5.876423645337878,1.869608742931851
1838-07-01,,101698.8479375,10.824184178996191,-2.0128541226617163,11.78772526359406,-5.083216055634314
1838-08-01,,101529.34853437499,14.952382766705604,-0.19721104692792862,15.050665283022006,-1.7284869847700735
1838-09-01,,101783.46601328124,-1.293224088341175,-0.7076600576957143,-1.6085992588693019,-1.1899352042136182
1838-10-01,,101561.28569374999,1.0316174151632196,0.0001322009066940694,1.031683513499023,0.011678965481826743
1838-11-01,,100782.81053984376,-9.956017161892778,2.3065229258116102,-11.049256063716825,5.318254397917993
1838-12-01,,102087.68397890625,-0.18275571969393353,2.990231186648096,-0.7614995112591769,3.080253950921904
1839-01-01,,101330.81858125,13.482420825053884,0.042714685430652474,13.503761278556153,0.7600801988851533
1839-02-01,,101732.26155625,4.666005048238558,4.178076906888353,6.423903100892611,6.0787543608327965
1839-03-01,,101290.203709375,-4.698644739543088,1.2851792156217825,-5.3024393395198155,2.773136523346375
1839-04-01,,101970.73866484374,-3.911902410093186,-2.099197066128055,-4.849209680797456,-3.5522503268614836
1839-05-01,,101512.61200703125,-0.9086234168718484,-5.76912584124596,-2.463241634092046,-6.206832993271889
1839-06-01,,101387.90535,5.368698179712034,0.06453560086754385,5.400869588107781,0.5921461024810853
1839-07-01,,101559.90548359374,9.762731303090803,1.767633759675393,10.60979999502027,4.514583319236363
1839-08-01,,101668.677809375,3.9577536950317884,-0.4614085057512029,4.182099416452662,-1.4279492385009618
1839-09-01,,100895.18709921875,2.6761165203997184,11.810490635238072,6.22638327873759,13.08028815233185
1839-10-01,,101981.08364140625,-5.068031086488544,-1.1492957663614147,-5.613341764502103,-2.673115678392089
1839-11-01,,101077.87688828124,-1.1197958449255017,0.8368711010384297,-1.480225494981586,1.279639801441928
1839-12-01,,101153.52747734376,-0.11520216288977914,3.1453897175674914,-0.6128843585290211,3.2024728217385934
1840-01-01,,101346.57444140625,15.147816743353602,7.023439306941719,18.326104976776797,12.478720736834909
1840-02-01,,101848.76080234375,-2.0945369006940764,2.118036654282141,-2.9704192898959083,2.9870361896534248
1840-03-01,,102432.94056015625,1.4631458945532973e-05,-4.8501835549554,0.00842410088034444,-4.850190870679356
1840-04-01,,101695.93710078124,0.5855987530622776,-0.6380136873855566,0.8464903539661526,-0.8835618173398863
1840-05-01,,101249.29678828125,10.04074374816785,-0.00732539506228354,10.044405777896781,-0.27130439747136725
1840-06-01,,101517.349159375,20.044332046136688,0.025693068465565586,20.05717446629485,0.7180950698724344
